County,Total Homeless Persons 2015,Total Sheltered Persons 2015,Total Unsheltered Persons 2015,Total Homeless Households 2015,Total Sheltered Households 2015,Total Unsheltered Households 2015,Total Individuals 2015,Total Individuals Sheltered 2015,Total Individuals Unsheltered 2015,Total Persons in Families 2015,Total Persons in Families Sheltered 2015,Total Persons in Families Unsheltered 2015,Total Family Households 2015,Total Family Households Sheltered 2015,Total Family Households Unsheltered 2015,Homeless Persons under 18 2015,Persons under 18 Sheltered 2015,Persons under 18 Unsheltered 2015,Homeless Persons 18-24 2015,Persons 18-24 Sheltered 2015,Persons 18-24 Unsheltered 2015,Homeless Persons over 24 2015,Persons over 24 Sheltered 2015,Persons over 24 Unsheltered 2015,Missing DOB 2015,Missing DOB Sheltered 2015,Missing DOB Unsheltered 2015,Female Homeless 2015,Female Sheltered 2015,Female Unsheltered 2015,Male Homeless 2015,Male Sheltered 2015,Male Unsheltered 2015 ,Transgender (Male to Female) Homeless 2015,Transgender (Male to Female) Sheltered 2015,Transgender (Male to Female) Unsheltered 2015,Transgender (Female to Male) Homeless 2015,Transgender (Female to Male) Sheltered 2015,Transgender (Female to Male) Unsheltered 2015,Missing Gender 2015,Missing Gender Sheltered 2015,Missing Gender Unsheltered 2015,Non-Hispanic/Non-Latino Homeless 2015,Non-Hispanic/Non-Latino Sheltered 2015,Non-Hispanic/Non-Latino Unsheltered 2015,Hispanic/Latino Homeless 2015,Hispanic/Latino Sheltered 2015,Hispanic/Latino Unsheltered 2015,Missing Ethnicity 2015,Missing Ethnicity Sheltered 2015,Missing Ethnicity Unsheltered 2015,White Homeless 2015,White Sheltered 2015,White Unsheltered 2015,Black Homeless 2015,Black Sheltered 2015,Black Unsheltered 2015,Asian Homeless 2015,Asian Sheltered 2015,Asian Unsheltered 2015,American Indian or Alaska Native Homeless 2015,American Indian or Alaska Native Sheltered 2015,American Indian or Alaska Native Unsheltered 2015,Native Hawaiian or Other Pacific Islander Homeless 2015,Native Hawaiian or Other Pacific Islander Sheltered 2015,Native Hawaiian or Other Pacific Islander Unsheltered 2015,Multiple Races Homeless 2015,Multiple Races Sheltered 2015,Multiple Races Unsheltered 2015,Missing Race 2015,Missing Race Sheltered 2015,Missing Race Unsheltered 2015
Douglas,404,206,198,247,146,101,205,117,88,199,89,110,50,30,20,117,65,52,36,16,20,251,125,126,0,0,0,190,108,82,213,97,116,1,1,0,0,0,0,0,0,0,350,188,162,49,17,32,5,1,4,352,177,175,5,3,2,0,0,0,11,4,7,4,4,0,27,17,10,5,1,4
Gilliam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grant,7,7,0,3,3,0,1,1,0,6,6,0,2,2,0,3,3,0,0,0,0,4,4,0,0,0,0,2,2,0,5,5,0,0,0,0,0,0,0,0,0,0,6,6,0,1,1,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harney,6,4,2,3,1,2,2,0,2,4,4,0,1,1,0,4,3,1,0,0,0,2,1,1,0,0,0,3,3,0,3,1,2,0,0,0,0,0,0,0,0,0,6,4,2,0,0,0,0,0,0,5,4,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Hood River,69,4,65,66,4,62,66,4,62,3,0,3,2,0,2,3,0,3,23,4,19,30,0,30,13,0,13,16,0,16,53,4,49,0,0,0,0,0,0,0,0,0,53,4,49,11,0,11,5,0,5,64,4,60,0,0,0,0,0,0,2,0,2,0,0,0,1,0,1,2,0,2
Jackson,679,349,330,578,308,270,583,297,286,96,52,44,27,16,11,61,39,22,52,26,26,512,269,243,54,15,39,188,93,95,476,255,221,0,0,0,3,0,3,12,1,11,540,297,243,39,24,15,100,28,72,502,287,215,22,18,4,4,3,1,25,9,16,12,10,2,17,4,13,97,18,79
Jefferson,55,4,51,39,4,35,42,4,38,13,0,13,4,0,4,6,0,6,2,0,2,47,4,43,0,0,0,18,0,18,37,4,33,0,0,0,0,0,0,0,0,0,51,4,47,4,0,4,0,0,0,28,3,25,2,1,1,0,0,0,24,0,24,0,0,0,1,0,1,0,0,0
Josephine,883,124,759,509,98,411,349,85,264,534,39,495,180,13,167,322,24,298,80,8,72,481,92,389,0,0,0,437,63,374,446,61,385,0,0,0,0,0,0,0,0,0,793,105,688,81,15,66,9,4,5,778,109,669,11,2,9,6,1,5,28,3,25,2,0,2,49,5,44,9,4,5
Klamath,252,76,176,181,65,116,176,61,115,76,15,61,11,5,6,57,11,46,34,9,25,160,56,104,1,0,1,112,36,76,139,40,99,1,0,1,0,0,0,0,0,0,69,17,52,29,4,25,154,55,99,170,56,114,5,1,4,1,1,0,42,12,30,3,0,3,10,2,8,21,4,17
Lake,6,0,6,3,0,3,2,0,2,4,0,4,1,0,1,2,0,2,0,0,0,4,0,4,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lane*,"1,473",757,716,"1,292",650,642,"1,250",606,644,223,151,72,69,47,22,150,103,47,139,61,78,"1,184",593,591,0,0,0,462,236,226,"1,006",518,488,5,3,2,0,0,0,0,0,0,"1,366",691,675,107,66,41,0,0,0,"1,265",648,617,35,21,14,7,1,6,43,19,24,6,3,3,117,65,52,0,0,0
Lincoln,54,27,27,34,13,21,29,6,23,25,21,4,9,8,1,14,12,2,3,3,0,37,12,25,0,0,0,29,20,9,25,7,18,0,0,0,0,0,0,0,0,0,37,21,16,6,6,0,11,0,11,40,15,25,0,0,0,0,0,0,5,4,1,0,0,0,9,8,1,0,0,0
Linn,222,154,68,181,138,43,187,140,47,35,14,21,8,3,5,20,9,11,15,14,1,183,129,54,4,2,2,91,62,29,115,80,35,8,7,1,5,5,0,3,0,3,144,91,53,16,9,7,62,54,8,182,125,57,8,8,0,1,0,1,6,5,1,5,5,0,5,5,0,15,6,9
Malheur,104,50,54,68,27,41,53,15,38,51,35,16,18,13,5,30,21,9,22,15,7,50,12,38,2,2,0,52,33,19,50,15,35,0,0,0,0,0,0,2,2,0,52,21,31,46,27,19,6,2,4,88,47,41,1,0,1,0,0,0,1,0,1,0,0,0,2,1,1,12,2,10
Marion,732,573,159,618,484,134,600,444,156,132,129,3,42,41,1,84,80,4,60,39,21,585,454,131,3,0,3,233,186,47,491,383,108,3,2,1,1,1,0,4,1,3,595,470,125,92,79,13,45,24,21,576,452,124,29,29,0,4,4,0,38,31,7,9,6,3,30,25,5,46,26,20
Morrow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Multnomah*,"3,801","1,914","1,887","3,227","1,572","1,655","3,132","1,403","1,729",669,511,158,218,171,47,378,299,79,315,169,146,"3,108","1,446","1,662",0,0,0,"1,351",747,604,"2,430","1,158","1,272",14,7,7,6,2,4,0,0,0,"3,376","1,692","1,684",425,222,203,0,0,0,"2,664","1,301","1,363",573,316,257,38,21,17,214,109,105,56,26,30,256,141,115,0,0,0
Polk,42,9,33,29,9,20,38,9,29,4,0,4,1,0,1,2,0,2,3,1,2,37,8,29,0,0,0,18,6,12,24,3,21,0,0,0,0,0,0,0,0,0,26,7,19,2,2,0,14,0,14,26,9,17,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,14,0,14
Sherman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tillamook,106,6,100,56,2,54,42,1,41,64,5,59,18,1,17,31,4,27,11,0,11,64,2,62,0,0,0,45,2,43,61,4,57,0,0,0,0,0,0,0,0,0,64,2,62,11,4,7,31,0,31,64,6,58,0,0,0,0,0,0,8,0,8,0,0,0,3,0,3,31,0,31
Umatilla,52,24,28,39,17,22,37,14,23,15,10,5,5,3,2,9,7,2,6,2,4,29,11,18,8,4,4,19,12,7,32,12,20,0,0,0,0,0,0,1,0,1,47,24,23,0,0,0,5,0,5,39,18,21,0,0,0,0,0,0,1,0,1,6,6,0,1,0,1,5,0,5
Union,75,29,46,38,14,24,31,9,22,44,20,24,16,7,9,25,13,12,11,2,9,39,14,25,0,0,0,38,17,21,37,12,25,0,0,0,0,0,0,0,0,0,72,26,46,3,3,0,0,0,0,66,26,40,8,3,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Wallowa,23,11,12,9,3,6,4,0,4,19,11,8,5,3,2,9,5,4,5,2,3,8,4,4,1,0,1,11,5,6,12,6,6,0,0,0,0,0,0,0,0,0,22,11,11,1,0,1,0,0,0,23,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wasco,47,14,33,34,10,24,37,8,29,10,6,4,5,3,2,3,2,1,10,5,5,30,6,24,4,1,3,24,9,15,22,4,18,0,0,0,0,0,0,1,1,0,36,12,24,3,1,2,8,1,7,38,13,25,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,7,1,6
Washington*,591,196,395,424,116,308,399,97,302,192,99,93,58,30,28,132,57,75,65,23,42,394,116,278,0,0,0,234,86,148,356,109,247,1,1,0,0,0,0,0,0,0,507,173,334,84,23,61,0,0,0,480,146,334,40,12,28,8,5,3,13,3,10,6,0,6,44,30,14,0,0,0
Wheeler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yamhill,495,246,249,299,149,150,228,105,123,267,141,126,91,47,44,169,92,77,55,13,42,264,136,128,7,5,2,228,110,118,262,135,127,0,0,0,0,0,0,5,1,4,383,194,189,81,41,40,31,11,20,419,214,205,5,2,3,13,4,9,12,8,4,3,2,1,11,5,6,32,11,21
No County,127,108,19,85,56,29,60,47,13,67,61,6,33,21,12,43,37,6,12,12,0,60,56,4,12,3,9,70,64,6,45,41,4,0,0,0,0,0,0,12,3,9,88,79,9,26,25,1,13,4,9,85,76,9,14,14,0,0,0,0,1,1,0,0,0,0,3,3,0,24,14,10
"Source: Point-in-Time Counts from ServicePoint as reported by CoCs, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*In these counties the PIT count was reported to OHCS in the same format that was submitted to HUD. HUD does not allow CoCs to report missing age, gender, ethnicity, or race data and provides a PIT Count Data Extrapolation Tool to allow CoCs to extrapolate estimates for the missing data. For all other counties the missing data is included here. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
